agence_cat,biblionumber,bloc_indexation,bloc_liens,bloc_responsabilites,bloc_titres,identifiant,norme_cat,patrimoine,type_notice,z001,z100,z100datepub,z101,z200,z801
BnF,30,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,57,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,95,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,133,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Roubaix,168,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Enregistrement sonore musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,195,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Roubaix,225,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,non_patrimonial,"Enregistrement sonore musical",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
BnF,247,bloc_indexation_ok,bloc_liens_ok,bloc_responsabilites_ok,bloc_titres_ok,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Roubaix,283,bloc_indexation_ok,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,NC,AFNOR,patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
Roubaix,319,bloc_indexation_ko,bloc_liens_ko,bloc_responsabilites_ok,bloc_titres_ko,ark_bnf,AFNOR,non_patrimonial,"Ressource textuelle",z001_ok,z100_ok,z100datepub_ok,z101_ok,z200_ok,z801_ok
